tsne_1,tsne_2,method,gas_class
-48.225918,20.253767,Best Traditional ML,1
-49.03283,19.948456,Best Traditional ML,1
-43.56274,23.325495,Best Traditional ML,1
-93.98636,26.682367,Best Traditional ML,1
-22.520733,71.284706,Best Traditional ML,1
-47.73391,19.339859,Best Traditional ML,1
-94.01744,26.503057,Best Traditional ML,1
-44.74819,17.919062,Best Traditional ML,1
-45.219646,19.375454,Best Traditional ML,1
-22.993301,70.84989,Best Traditional ML,1
-22.465456,71.28669,Best Traditional ML,1
-42.764,21.926939,Best Traditional ML,1
-23.33021,70.879166,Best Traditional ML,1
-93.770485,25.157928,Best Traditional ML,1
-22.533796,71.22031,Best Traditional ML,1
-87.4308,0.43258655,Best Traditional ML,1
-91.55561,24.748692,Best Traditional ML,1
-90.91423,12.826677,Best Traditional ML,1
-44.150776,18.179018,Best Traditional ML,1
-90.91426,12.827035,Best Traditional ML,1
-23.097076,69.90202,Best Traditional ML,1
-93.70203,25.317446,Best Traditional ML,1
-22.698544,70.62351,Best Traditional ML,1
-42.11715,21.396255,Best Traditional ML,1
-42.720013,21.929777,Best Traditional ML,1
-87.435356,0.49832082,Best Traditional ML,1
-91.28938,25.053848,Best Traditional ML,1
-23.505617,70.32295,Best Traditional ML,1
-93.1808,24.943491,Best Traditional ML,1
-22.886696,70.82998,Best Traditional ML,1
-22.699133,71.07609,Best Traditional ML,1
-42.417347,21.952501,Best Traditional ML,1
-93.3263,25.44966,Best Traditional ML,1
-43.57443,18.162258,Best Traditional ML,1
-91.394295,25.100098,Best Traditional ML,1
-22.540873,59.35208,Best Traditional ML,1
-93.46142,25.832592,Best Traditional ML,1
-22.752825,70.53762,Best Traditional ML,1
-42.42117,21.96858,Best Traditional ML,1
-44.786446,18.153566,Best Traditional ML,1
-91.18766,25.098587,Best Traditional ML,1
-87.424355,0.57849944,Best Traditional ML,1
-44.45548,18.157196,Best Traditional ML,1
-44.41054,19.717703,Best Traditional ML,1
-23.379206,69.84652,Best Traditional ML,1
-93.571175,25.681036,Best Traditional ML,1
-22.596766,70.44191,Best Traditional ML,1
-42.502632,21.538673,Best Traditional ML,1
-94.06472,26.10546,Best Traditional ML,1
-23.002302,70.6044,Best Traditional ML,1
-42.259415,21.36095,Best Traditional ML,1
-44.473545,18.478584,Best Traditional ML,1
-91.17275,25.271944,Best Traditional ML,1
-22.550817,59.355274,Best Traditional ML,1
-42.79155,21.060484,Best Traditional ML,1
-44.913937,18.09019,Best Traditional ML,1
-44.78996,18.821491,Best Traditional ML,1
-22.48517,59.33814,Best Traditional ML,1
-93.57216,25.229256,Best Traditional ML,1
-23.10243,70.75035,Best Traditional ML,1
-90.95379,10.922104,Best Traditional ML,1
-44.281975,19.276203,Best Traditional ML,1
-23.45761,70.302826,Best Traditional ML,1
-93.75123,26.380917,Best Traditional ML,1
-22.482279,70.57257,Best Traditional ML,1
-42.402283,21.234692,Best Traditional ML,1
-93.88687,26.606905,Best Traditional ML,1
-44.613388,18.081985,Best Traditional ML,1
-91.13787,25.221922,Best Traditional ML,1
-23.445122,59.49024,Best Traditional ML,1
-22.319653,59.297863,Best Traditional ML,1
-41.9504,21.621162,Best Traditional ML,1
-92.68587,25.214115,Best Traditional ML,1
-93.641304,26.220764,Best Traditional ML,1
-22.909666,71.05854,Best Traditional ML,1
-42.703453,21.334377,Best Traditional ML,1
-44.8079,18.23593,Best Traditional ML,1
-91.34524,25.470472,Best Traditional ML,1
-44.79808,18.857006,Best Traditional ML,1
-44.74851,19.214699,Best Traditional ML,1
-22.551432,59.35232,Best Traditional ML,1
-93.772224,26.558659,Best Traditional ML,1
-22.31864,59.299458,Best Traditional ML,1
-42.350224,21.754944,Best Traditional ML,1
-41.69941,21.405025,Best Traditional ML,1
-44.298508,18.604158,Best Traditional ML,1
-91.11516,25.19797,Best Traditional ML,1
-92.4436,21.061045,Best Traditional ML,1
-93.79891,26.533407,Best Traditional ML,1
-22.77506,70.22026,Best Traditional ML,1
-22.430689,70.76116,Best Traditional ML,1
-42.151237,21.375135,Best Traditional ML,1
-93.960686,26.627985,Best Traditional ML,1
-43.93489,18.128798,Best Traditional ML,1
-43.89023,20.163317,Best Traditional ML,1
-23.451118,59.49321,Best Traditional ML,1
-93.872505,26.39984,Best Traditional ML,1
-22.586527,70.91165,Best Traditional ML,1
-41.842064,21.379452,Best Traditional ML,1
-44.6767,18.578543,Best Traditional ML,1
-91.25525,25.50772,Best Traditional ML,1
-41.335712,20.91881,Best Traditional ML,1
-45.026466,17.915365,Best Traditional ML,1
-91.165855,25.286135,Best Traditional ML,1
-92.44831,21.038437,Best Traditional ML,1
-93.42119,26.087189,Best Traditional ML,1
-22.819351,70.38296,Best Traditional ML,1
-42.271015,21.629278,Best Traditional ML,1
-14.961199,-2.079291,Best Traditional ML,1
4.607473,31.058105,Best Traditional ML,1
6.2563806,22.372498,Best Traditional ML,1
-87.08651,-1.6876719,Best Traditional ML,1
-6.6426315,-4.1024456,Best Traditional ML,1
4.802568,25.210495,Best Traditional ML,1
4.9700065,21.388224,Best Traditional ML,1
-14.205298,-3.6492114,Best Traditional ML,1
-10.8322735,0.91277397,Best Traditional ML,1
5.244174,25.948181,Best Traditional ML,1
-34.04885,-3.394211,Best Traditional ML,1
3.6611695,36.048283,Best Traditional ML,1
-11.809612,0.94501674,Best Traditional ML,1
-9.94684,2.0401857,Best Traditional ML,1
5.5195713,24.880589,Best Traditional ML,1
-12.358393,-0.81132215,Best Traditional ML,1
5.696836,31.605963,Best Traditional ML,1
6.182858,23.135197,Best Traditional ML,1
-13.265336,-2.1134036,Best Traditional ML,1
-11.126456,0.06616815,Best Traditional ML,1
5.734369,21.599222,Best Traditional ML,1
5.101146,25.385391,Best Traditional ML,1
4.157621,33.150642,Best Traditional ML,1
6.3103886,22.821644,Best Traditional ML,1
4.98892,25.741766,Best Traditional ML,1
-12.175979,-0.9353689,Best Traditional ML,1
4.2856865,32.788094,Best Traditional ML,1
6.221634,23.425238,Best Traditional ML,1
-11.610619,0.35085732,Best Traditional ML,1
-10.272086,1.5540203,Best Traditional ML,1
-18.894657,-4.792585,Best Traditional ML,1
-10.064671,1.8998339,Best Traditional ML,1
5.267131,27.076717,Best Traditional ML,1
-13.162002,-0.70978045,Best Traditional ML,1
3.6131287,36.40948,Best Traditional ML,1
6.2266226,23.166647,Best Traditional ML,1
6.032669,22.876453,Best Traditional ML,1
-18.306278,-3.243927,Best Traditional ML,1
-11.29155,0.7075542,Best Traditional ML,1
3.5603762,25.841862,Best Traditional ML,1
-13.626034,-1.6769372,Best Traditional ML,1
6.4192705,31.972532,Best Traditional ML,1
6.3336678,31.699032,Best Traditional ML,1
5.358664,21.771523,Best Traditional ML,1
-35.588814,-5.418014,Best Traditional ML,1
-87.4959,-1.664283,Best Traditional ML,1
-10.760679,1.4442408,Best Traditional ML,1
4.351493,25.980637,Best Traditional ML,1
-37.585377,-5.4194074,Best Traditional ML,1
5.9950814,31.120358,Best Traditional ML,1
4.6484203,21.198395,Best Traditional ML,1
-21.59616,-4.3204465,Best Traditional ML,1
-10.408048,0.39757165,Best Traditional ML,1
4.302325,26.185373,Best Traditional ML,1
-17.665691,-4.100203,Best Traditional ML,1
-10.269881,0.14820975,Best Traditional ML,1
4.8703,26.217716,Best Traditional ML,1
-36.40352,-5.161384,Best Traditional ML,1
6.3150473,32.095116,Best Traditional ML,1
5.3816676,21.907694,Best Traditional ML,1
-49.5079,20.009245,Best Traditional ML,1
8.75305,32.93161,Best Traditional ML,1
1.8701428,19.355072,Best Traditional ML,1
-20.735981,-6.208775,Best Traditional ML,1
-12.338749,0.87021863,Best Traditional ML,1
4.077952,25.912111,Best Traditional ML,1
5.783215,22.360659,Best Traditional ML,1
-20.682287,-5.9041557,Best Traditional ML,1
-11.855876,0.08862508,Best Traditional ML,1
6.121185,24.328234,Best Traditional ML,1
-26.939945,-7.6570706,Best Traditional ML,1
6.791351,31.145113,Best Traditional ML,1
-87.423065,-2.0819461,Best Traditional ML,1
-11.658591,0.73763067,Best Traditional ML,1
5.879383,26.41007,Best Traditional ML,1
-24.77973,-1.0871071,Best Traditional ML,1
6.711165,31.655657,Best Traditional ML,1
5.366865,21.914452,Best Traditional ML,1
-24.913193,-1.0695484,Best Traditional ML,1
-87.430084,-1.9921732,Best Traditional ML,1
-11.297078,0.108367324,Best Traditional ML,1
6.0843396,26.719395,Best Traditional ML,1
6.541079,31.840075,Best Traditional ML,1
5.2413926,22.27166,Best Traditional ML,1
6.090967,26.755674,Best Traditional ML,1
-25.58745,-8.117211,Best Traditional ML,1
6.3635926,32.610306,Best Traditional ML,1
5.7211256,22.511707,Best Traditional ML,1
-20.09734,-5.684047,Best Traditional ML,1
-11.004553,0.6707546,Best Traditional ML,1
-19.995712,-4.731993,Best Traditional ML,1
-11.631554,-0.25705838,Best Traditional ML,1
6.628916,27.25075,Best Traditional ML,1
-20.895037,-10.104485,Best Traditional ML,1
6.304086,32.667442,Best Traditional ML,1
3.5101738,20.419449,Best Traditional ML,1
4.5935097,21.140059,Best Traditional ML,1
-20.893974,-5.4219904,Best Traditional ML,1
-11.122008,0.57900834,Best Traditional ML,1
6.1620336,26.622896,Best Traditional ML,1
-25.026905,-1.1015394,Best Traditional ML,1
5.176367,34.621723,Best Traditional ML,1
6.345874,32.13869,Best Traditional ML,1
5.733708,22.59726,Best Traditional ML,1
-25.458818,-8.177575,Best Traditional ML,1
-19.972406,-4.839421,Best Traditional ML,1
-9.861779,-0.34254596,Best Traditional ML,1
7.285256,27.645115,Best Traditional ML,1
-19.565014,-9.784989,Best Traditional ML,1
6.205298,33.455406,Best Traditional ML,1
6.5275187,23.659348,Best Traditional ML,1
-19.786497,-5.4005976,Best Traditional ML,1
-9.733657,-0.3110919,Best Traditional ML,1
7.2776494,27.979519,Best Traditional ML,1
-87.35991,-1.9373827,Best Traditional ML,1
-9.249138,-0.66651297,Best Traditional ML,1
7.3756866,28.120888,Best Traditional ML,1
-20.69274,-9.885734,Best Traditional ML,1
6.3697515,34.53071,Best Traditional ML,1
7.442133,25.351028,Best Traditional ML,1
-21.28985,-10.163018,Best Traditional ML,1
6.221814,33.89532,Best Traditional ML,1
7.7897205,25.492565,Best Traditional ML,1
-19.534071,-5.1218343,Best Traditional ML,1
-9.31119,-0.4969249,Best Traditional ML,1
7.529195,28.317413,Best Traditional ML,1
8.031387,25.798756,Best Traditional ML,1
-20.748556,-4.826892,Best Traditional ML,1
-9.602482,-0.39350513,Best Traditional ML,1
7.135581,28.624796,Best Traditional ML,1
-25.952711,-8.250161,Best Traditional ML,1
6.3217974,33.900383,Best Traditional ML,1
-21.341244,-4.633882,Best Traditional ML,1
-9.523274,-0.43838254,Best Traditional ML,1
6.9809957,28.666876,Best Traditional ML,1
-23.41683,-9.320032,Best Traditional ML,1
5.8340135,34.47262,Best Traditional ML,1
8.243112,25.912415,Best Traditional ML,1
-21.91641,-10.023555,Best Traditional ML,1
-21.634329,-4.631651,Best Traditional ML,1
-9.508222,-0.4093044,Best Traditional ML,1
7.14257,28.591019,Best Traditional ML,1
6.34563,34.117268,Best Traditional ML,1
8.198145,25.841007,Best Traditional ML,1
6.995318,28.687609,Best Traditional ML,1
-20.769342,-10.286347,Best Traditional ML,1
6.676037,33.71006,Best Traditional ML,1
8.193461,25.792433,Best Traditional ML,1
-19.326435,-4.830983,Best Traditional ML,1
-9.465116,-0.616018,Best Traditional ML,1
-19.288599,-4.8172503,Best Traditional ML,1
-9.197952,-0.6601394,Best Traditional ML,1
7.4466224,28.277586,Best Traditional ML,1
-20.988937,-10.762335,Best Traditional ML,1
6.3017926,34.74009,Best Traditional ML,1
8.173637,25.886065,Best Traditional ML,1
8.027524,25.508293,Best Traditional ML,1
-19.093615,-5.026909,Best Traditional ML,1
-9.689776,-1.131129,Best Traditional ML,1
6.829765,28.50938,Best Traditional ML,1
-27.639532,-8.611,Best Traditional ML,1
6.675752,34.52033,Best Traditional ML,1
6.7261295,34.214344,Best Traditional ML,1
8.190517,25.698454,Best Traditional ML,1
-23.64912,-9.127561,Best Traditional ML,1
-21.644241,-4.6846876,Best Traditional ML,1
-12.62848,-2.1165035,Best Traditional ML,1
7.5224175,28.214571,Best Traditional ML,1
-25.170626,-8.326991,Best Traditional ML,1
6.6944294,34.33356,Best Traditional ML,1
8.193458,25.611044,Best Traditional ML,1
-20.26821,-5.048206,Best Traditional ML,1
-12.876024,-2.3777936,Best Traditional ML,1
7.474272,27.977123,Best Traditional ML,1
-87.30591,-1.7277194,Best Traditional ML,1
-12.807144,-2.4573889,Best Traditional ML,1
7.256786,28.452246,Best Traditional ML,1
-21.534771,-10.146415,Best Traditional ML,1
6.6683435,34.446445,Best Traditional ML,1
8.316027,25.68447,Best Traditional ML,1
-37.594193,-14.960261,Best Traditional ML,1
3.0795817,30.987741,Best Traditional ML,1
1.339759,19.335087,Best Traditional ML,1
-30.040651,-2.6540132,Best Traditional ML,1
-25.792707,-0.109348014,Best Traditional ML,1
3.1419713,27.500044,Best Traditional ML,1
1.1973399,19.16427,Best Traditional ML,1
-29.965712,-1.2964504,Best Traditional ML,1
-28.018822,-3.0404587,Best Traditional ML,1
1.6692214,20.25851,Best Traditional ML,1
-37.914326,-14.504712,Best Traditional ML,1
3.274065,30.207664,Best Traditional ML,1
-30.552366,-0.9122588,Best Traditional ML,1
-27.980211,-0.72800994,Best Traditional ML,1
2.9170566,28.56121,Best Traditional ML,1
-37.441433,-15.182489,Best Traditional ML,1
3.1191986,32.33949,Best Traditional ML,1
1.1093305,19.177565,Best Traditional ML,1
-37.887333,-14.789129,Best Traditional ML,1
-30.481413,-1.4276114,Best Traditional ML,1
-28.62059,-0.8935046,Best Traditional ML,1
2.811338,28.12884,Best Traditional ML,1
3.2842977,30.183067,Best Traditional ML,1
1.1404141,18.974566,Best Traditional ML,1
2.6881793,27.748878,Best Traditional ML,1
-37.918465,-14.234693,Best Traditional ML,1
2.9731889,31.317392,Best Traditional ML,1
0.45279795,17.6752,Best Traditional ML,1
-31.696615,-0.5167593,Best Traditional ML,1
-28.666931,-0.78177387,Best Traditional ML,1
-30.381485,0.048407894,Best Traditional ML,1
-27.14037,0.91223043,Best Traditional ML,1
3.3544838,29.550726,Best Traditional ML,1
-37.91743,-13.485087,Best Traditional ML,1
-18.24296,75.74499,Best Traditional ML,1
1.4262844,19.258968,Best Traditional ML,1
0.8706643,18.574696,Best Traditional ML,1
-31.040924,-0.07785737,Best Traditional ML,1
-26.813723,0.45496842,Best Traditional ML,1
3.207518,29.663193,Best Traditional ML,1
-38.466797,-13.947459,Best Traditional ML,1
-18.347044,75.75055,Best Traditional ML,1
3.6409292,32.292152,Best Traditional ML,1
0.9542683,18.535585,Best Traditional ML,1
-38.261986,-14.759462,Best Traditional ML,1
-32.20508,-6.4070034,Best Traditional ML,1
-27.5543,0.87348706,Best Traditional ML,1
2.850804,29.44638,Best Traditional ML,1
-37.66457,-14.818454,Best Traditional ML,1
-18.416689,75.733734,Best Traditional ML,1
1.483583,18.860746,Best Traditional ML,1
-31.177732,-0.49020264,Best Traditional ML,1
-27.107447,-0.0041485773,Best Traditional ML,1
3.3924756,29.109276,Best Traditional ML,1
-29.418621,-2.816981,Best Traditional ML,1
-26.77331,0.7574881,Best Traditional ML,1
3.1399772,29.154448,Best Traditional ML,1
-38.457085,-15.066229,Best Traditional ML,1
3.147656,31.770798,Best Traditional ML,1
1.1276731,18.94454,Best Traditional ML,1
-38.08251,-14.50567,Best Traditional ML,1
2.7231991,33.7349,Best Traditional ML,1
0.62970674,18.7665,Best Traditional ML,1
-30.462788,-1.9791193,Best Traditional ML,1
-26.856749,0.040234733,Best Traditional ML,1
3.46656,29.12591,Best Traditional ML,1
0.5141447,18.450089,Best Traditional ML,1
-31.199945,-0.12302473,Best Traditional ML,1
-26.423525,1.169258,Best Traditional ML,1
4.306756,29.795954,Best Traditional ML,1
-38.074898,-11.679115,Best Traditional ML,1
-18.36373,75.73433,Best Traditional ML,1
-28.971275,-2.657019,Best Traditional ML,1
-26.503786,1.101284,Best Traditional ML,1
3.0966704,28.511852,Best Traditional ML,1
-38.309944,-11.891691,Best Traditional ML,1
-18.32713,75.73834,Best Traditional ML,1
0.6949477,18.278023,Best Traditional ML,1
-38.159107,-11.471921,Best Traditional ML,1
-27.680323,-4.853722,Best Traditional ML,1
-27.215912,0.85131586,Best Traditional ML,1
4.077895,29.969915,Best Traditional ML,1
-18.254982,75.752235,Best Traditional ML,1
0.42968306,18.670134,Best Traditional ML,1
2.862098,28.50797,Best Traditional ML,1
-38.13886,-12.165069,Best Traditional ML,1
2.669953,33.571777,Best Traditional ML,1
0.8008776,18.282156,Best Traditional ML,1
-29.979998,-2.217185,Best Traditional ML,1
-25.525732,-0.2837134,Best Traditional ML,1
-29.904882,-1.6004436,Best Traditional ML,1
-26.707338,0.65178406,Best Traditional ML,1
3.2457302,28.624561,Best Traditional ML,1
-38.576786,-12.0977335,Best Traditional ML,1
2.7053223,31.96985,Best Traditional ML,1
0.4663502,17.700104,Best Traditional ML,1
1.033803,18.955795,Best Traditional ML,1
-29.93676,-2.3025644,Best Traditional ML,1
-25.97245,-0.2630066,Best Traditional ML,1
3.3969636,28.782526,Best Traditional ML,1
-38.08236,-13.132766,Best Traditional ML,1
2.687218,33.60755,Best Traditional ML,1
3.0411017,31.049591,Best Traditional ML,1
0.6705011,18.79524,Best Traditional ML,1
-38.9309,-14.602217,Best Traditional ML,1
-30.06555,-2.6744888,Best Traditional ML,1
-26.405878,0.18004024,Best Traditional ML,1
2.7274158,28.771069,Best Traditional ML,1
-42.566135,-16.908546,Best Traditional ML,1
2.515088,31.88116,Best Traditional ML,1
0.44956133,18.14798,Best Traditional ML,1
-29.494013,-2.5762775,Best Traditional ML,1
-25.296867,0.5209362,Best Traditional ML,1
2.4638505,28.2223,Best Traditional ML,1
-29.56551,-1.6279248,Best Traditional ML,1
-26.891016,0.43653798,Best Traditional ML,1
2.5492306,28.587719,Best Traditional ML,1
-38.153015,-14.3810215,Best Traditional ML,1
2.5244348,32.243004,Best Traditional ML,1
0.6415599,18.097517,Best Traditional ML,1
3.3123333,9.62918,Best Traditional ML,1
9.099831,5.1303496,Best Traditional ML,1
7.3671327,6.269083,Best Traditional ML,1
0.77149826,8.873908,Best Traditional ML,1
3.825993,7.443574,Best Traditional ML,1
7.3450775,5.8171835,Best Traditional ML,1
6.933729,6.74314,Best Traditional ML,1
0.7292551,8.964601,Best Traditional ML,1
3.4455135,6.8920507,Best Traditional ML,1
7.090573,5.8098,Best Traditional ML,1
2.759318,8.891597,Best Traditional ML,1
8.38257,5.919406,Best Traditional ML,1
0.12071496,9.0888815,Best Traditional ML,1
3.18608,7.0996633,Best Traditional ML,1
7.523907,5.8397665,Best Traditional ML,1
3.0456965,9.451756,Best Traditional ML,1
8.144504,5.7779336,Best Traditional ML,1
6.309535,7.0383153,Best Traditional ML,1
2.903975,9.0438175,Best Traditional ML,1
-0.01914325,9.133801,Best Traditional ML,1
3.406255,6.9863143,Best Traditional ML,1
7.4134254,5.839374,Best Traditional ML,1
7.6078653,5.454061,Best Traditional ML,1
6.789188,6.9792905,Best Traditional ML,1
7.3741207,5.95622,Best Traditional ML,1
2.971999,9.214381,Best Traditional ML,1
8.357697,5.580093,Best Traditional ML,1
6.6722746,7.1478105,Best Traditional ML,1
0.5817398,8.829232,Best Traditional ML,1
3.4800344,7.170061,Best Traditional ML,1
-0.15084179,9.231841,Best Traditional ML,1
3.3579717,7.2511663,Best Traditional ML,1
7.4747167,5.938773,Best Traditional ML,1
2.9938283,8.931536,Best Traditional ML,1
8.882457,5.3829145,Best Traditional ML,1
6.1802444,6.7664332,Best Traditional ML,1
6.3934555,7.075318,Best Traditional ML,1
-0.023826482,9.127898,Best Traditional ML,1
3.7006683,7.031788,Best Traditional ML,1
7.556544,5.9656043,Best Traditional ML,1
3.1418612,9.384622,Best Traditional ML,1
8.605502,5.598794,Best Traditional ML,1
8.577813,5.4825907,Best Traditional ML,1
6.958242,7.1456676,Best Traditional ML,1
3.910765,9.245256,Best Traditional ML,1
0.7073065,9.11131,Best Traditional ML,1
3.9346366,8.200608,Best Traditional ML,1
7.567347,6.59064,Best Traditional ML,1
3.9570892,9.206739,Best Traditional ML,1
9.66397,4.588612,Best Traditional ML,1
6.331614,7.562929,Best Traditional ML,1
0.18262655,9.196182,Best Traditional ML,1
3.8746874,8.258975,Best Traditional ML,1
7.6333184,6.777455,Best Traditional ML,1
0.82323426,9.005567,Best Traditional ML,1
3.5201726,8.04545,Best Traditional ML,1
7.904808,6.4285965,Best Traditional ML,1
3.2485242,9.194866,Best Traditional ML,1
9.478321,4.7477455,Best Traditional ML,1
6.9798584,7.1382823,Best Traditional ML,1
27.047848,-4.7225575,Best Traditional ML,2
31.213198,-8.218185,Best Traditional ML,2
23.07008,4.5744123,Best Traditional ML,2
25.018648,8.758601,Best Traditional ML,2
34.264027,-14.896237,Best Traditional ML,2
28.146917,-6.0488453,Best Traditional ML,2
23.98574,7.1141696,Best Traditional ML,2
28.341227,-4.498809,Best Traditional ML,2
23.784124,3.342301,Best Traditional ML,2
25.010176,8.669006,Best Traditional ML,2
28.486275,-4.4004273,Best Traditional ML,2
34.42818,-14.97823,Best Traditional ML,2
23.73342,3.1313748,Best Traditional ML,2
25.048584,7.9046187,Best Traditional ML,2
28.859566,-5.9555774,Best Traditional ML,2
24.02857,6.5458045,Best Traditional ML,2
28.796661,-5.868226,Best Traditional ML,2
24.081291,6.5343633,Best Traditional ML,2
28.420864,-4.1216,Best Traditional ML,2
36.590343,-17.573275,Best Traditional ML,2
23.975086,2.857978,Best Traditional ML,2
24.689981,7.5416317,Best Traditional ML,2
24.94858,7.46162,Best Traditional ML,2
29.157486,-6.176318,Best Traditional ML,2
24.242867,5.5437055,Best Traditional ML,2
28.509367,-4.175129,Best Traditional ML,2
36.69495,-17.681465,Best Traditional ML,2
24.17023,2.715934,Best Traditional ML,2
24.174704,2.6772473,Best Traditional ML,2
24.670513,7.3404098,Best Traditional ML,2
36.583103,-17.713076,Best Traditional ML,2
28.867163,-5.9524736,Best Traditional ML,2
24.23367,5.1661377,Best Traditional ML,2
29.06381,-3.808869,Best Traditional ML,2
36.69693,-17.740967,Best Traditional ML,2
24.205322,2.6692498,Best Traditional ML,2
24.612514,6.8256946,Best Traditional ML,2
29.103554,-6.155083,Best Traditional ML,2
24.110142,4.644476,Best Traditional ML,2
29.18532,-3.5123613,Best Traditional ML,2
29.410812,-6.618113,Best Traditional ML,2
24.95978,4.0042253,Best Traditional ML,2
29.287111,-3.6214392,Best Traditional ML,2
42.93313,-13.573731,Best Traditional ML,2
24.583147,2.2916057,Best Traditional ML,2
24.400085,6.4039288,Best Traditional ML,2
71.62457,-49.958805,Best Traditional ML,2
69.75007,-50.6482,Best Traditional ML,2
74.75772,47.641716,Best Traditional ML,2
54.38493,-2.798861,Best Traditional ML,2
105.94769,3.1037912,Best Traditional ML,2
38.34402,4.031621,Best Traditional ML,2
74.82891,47.03858,Best Traditional ML,2
53.91042,-2.624562,Best Traditional ML,2
39.788963,8.206734,Best Traditional ML,2
41.376884,3.287485,Best Traditional ML,2
40.101406,-19.889143,Best Traditional ML,2
74.0072,47.673683,Best Traditional ML,2
52.58568,-4.283873,Best Traditional ML,2
39.648624,8.26049,Best Traditional ML,2
39.553974,3.5584369,Best Traditional ML,2
40.173626,-20.948908,Best Traditional ML,2
70.60811,-57.740322,Best Traditional ML,2
39.82923,12.691726,Best Traditional ML,2
39.90018,-20.360498,Best Traditional ML,2
52.2134,-3.425721,Best Traditional ML,2
38.254974,8.70542,Best Traditional ML,2
39.50546,3.549928,Best Traditional ML,2
70.11256,-58.034008,Best Traditional ML,2
39.730022,12.678132,Best Traditional ML,2
39.52634,3.4788227,Best Traditional ML,2
45.829636,-24.185682,Best Traditional ML,2
41.61337,2.2519207,Best Traditional ML,2
68.34835,-58.363976,Best Traditional ML,2
53.959057,-3.5578072,Best Traditional ML,2
38.314915,8.792229,Best Traditional ML,2
51.9067,-4.568389,Best Traditional ML,2
35.918587,5.936381,Best Traditional ML,2
35.556393,-1.0496725,Best Traditional ML,2
70.69324,-51.855812,Best Traditional ML,2
37.02208,2.038985,Best Traditional ML,2
36.500347,10.0621805,Best Traditional ML,2
36.660236,10.182742,Best Traditional ML,2
50.047157,-5.903067,Best Traditional ML,2
36.660927,5.999481,Best Traditional ML,2
38.566395,1.0926487,Best Traditional ML,2
38.675552,-19.344343,Best Traditional ML,2
36.990738,2.8711107,Best Traditional ML,2
37.37622,2.3455465,Best Traditional ML,2
36.573257,10.149756,Best Traditional ML,2
48.6202,-24.59041,Best Traditional ML,2
52.00147,-4.2898426,Best Traditional ML,2
36.77166,8.144493,Best Traditional ML,2
39.72607,1.9566164,Best Traditional ML,2
45.620773,-24.662666,Best Traditional ML,2
36.488235,3.9869099,Best Traditional ML,2
36.154297,9.907315,Best Traditional ML,2
50.062782,-5.9904575,Best Traditional ML,2
35.780506,6.294058,Best Traditional ML,2
40.667717,1.692057,Best Traditional ML,2
50.118546,-5.9313645,Best Traditional ML,2
36.632965,7.6710253,Best Traditional ML,2
41.11947,1.0874857,Best Traditional ML,2
46.864506,-23.519102,Best Traditional ML,2
39.508972,4.4099474,Best Traditional ML,2
37.315655,11.32675,Best Traditional ML,2
69.82338,-51.90509,Best Traditional ML,2
69.86973,-56.746025,Best Traditional ML,2
38.6524,12.279357,Best Traditional ML,2
53.422318,-2.5200593,Best Traditional ML,2
35.79359,8.3761635,Best Traditional ML,2
41.368214,3.3589861,Best Traditional ML,2
75.60207,47.777355,Best Traditional ML,2
52.343056,-3.949141,Best Traditional ML,2
38.337467,9.84561,Best Traditional ML,2
